init_cas9_virus	init_junk	virus_kill_density
25	100	0.880000
28	100	0.892857
31	100	0.935484
34	100	0.941176
37	100	0.945946
40	100	0.950000
43	100	0.930233
46	100	0.913043
49	100	0.959184
52	100	0.923077
55	100	0.963636
58	100	0.931034
61	100	0.918033
64	100	0.921875
67	100	0.985075
70	100	0.957143
73	100	0.931507
76	100	0.921053
79	100	0.949367
82	100	0.951220
85	100	0.964706
88	100	0.965909
1	110	0.000000
4	110	0.750000
7	110	0.714286
10	110	0.700000
13	110	0.769231
16	110	0.875000
19	110	0.789474
22	110	0.863636
25	110	0.920000
28	110	0.892857
31	110	0.903226
34	110	0.941176
37	110	0.918919
40	110	0.925000
43	110	0.930233
46	110	0.869565
49	110	0.897959
52	110	0.942308
55	110	0.945455
58	110	0.948276
61	110	0.934426
64	110	0.937500
67	110	0.925373
70	110	0.928571
73	110	0.945205
76	110	0.973684
79	110	0.974684
82	110	0.963415
85	110	0.941176
88	110	0.977273
1	120	1.000000
4	120	0.250000
7	120	0.571429
10	120	0.700000
13	120	0.923077
16	120	0.875000
19	120	0.842105
22	120	0.818182
25	120	0.960000
28	120	0.892857
31	120	0.935484
34	120	0.882353
37	120	0.918919
40	120	0.925000
43	120	0.883721
46	120	0.913043
49	120	0.918367
52	120	0.942308
55	120	0.963636
58	120	0.965517
61	120	0.934426
64	120	0.921875
67	120	0.940299
70	120	0.942857
73	120	0.958904
76	120	0.947368
79	120	0.962025
82	120	0.963415
85	120	0.941176
88	120	0.954545
1	130	0.000000
4	130	0.750000
7	130	0.571429
10	130	0.800000
13	130	0.846154
16	130	0.937500
19	130	0.894737
22	130	0.909091
25	130	0.840000
28	130	0.928571
31	130	0.935484
34	130	0.911765
37	130	0.918919
40	130	0.900000
43	130	0.883721
46	130	0.956522
49	130	0.897959
52	130	0.903846
55	130	0.963636
58	130	0.931034
61	130	0.934426
64	130	0.906250
67	130	0.955224
70	130	0.971429
73	130	0.958904
76	130	0.973684
79	130	0.962025
82	130	0.951220
85	130	0.941176
88	130	0.965909
1	140	1.000000
4	140	0.750000
7	140	0.571429
10	140	0.600000
13	140	0.692308
16	140	0.875000
19	140	0.947368
22	140	0.863636
25	140	0.880000
28	140	0.857143
31	140	0.838710
34	140	0.941176
37	140	0.864865
40	140	0.950000
43	140	0.930233
46	140	0.956522
49	140	0.959184
52	140	0.942308
55	140	0.963636
58	140	0.931034
61	140	0.950820
64	140	0.921875
67	140	0.940299
70	140	0.971429
73	140	0.958904
76	140	0.947368
79	140	0.949367
82	140	0.951220
85	140	0.952941
88	140	0.943182
1	150	1.000000
4	150	0.750000
7	150	0.857143
10	150	1.000000
13	150	0.769231
16	150	0.750000
19	150	0.789474
22	150	0.863636
25	150	0.880000
28	150	0.964286
31	150	0.903226
34	150	0.882353
37	150	0.972973
40	150	0.925000
43	150	0.883721
46	150	0.934783
49	150	0.938776
52	150	0.961538
55	150	0.909091
58	150	0.931034
61	150	0.934426
64	150	0.937500
67	150	0.925373
70	150	0.957143
73	150	0.945205
76	150	0.960526
79	150	0.911392
82	150	0.963415
85	150	0.952941
88	150	0.977273
1	160	0.000000
4	160	0.750000
7	160	0.857143
10	160	0.900000
13	160	0.923077
16	160	0.812500
19	160	0.842105
22	160	0.863636
25	160	0.920000
28	160	0.892857
31	160	0.935484
34	160	0.882353
37	160	0.945946
40	160	0.900000
43	160	0.930233
46	160	0.956522
49	160	0.938776
52	160	0.923077
55	160	0.963636
58	160	0.931034
61	160	0.967213
64	160	0.984375
67	160	0.955224
70	160	0.957143
73	160	0.958904
76	160	0.973684
79	160	0.936709
82	160	0.963415
85	160	0.964706
88	160	0.920455
1	170	0.000000
4	170	0.750000
7	170	0.857143
10	170	0.800000
13	170	0.923077
16	170	0.750000
19	170	0.842105
22	170	0.818182
25	170	0.880000
28	170	0.928571
31	170	0.870968
34	170	0.911765
37	170	0.891892
40	170	0.900000
43	170	0.930233
46	170	0.934783
49	170	0.938776
52	170	0.923077
55	170	0.945455
58	170	0.948276
61	170	0.934426
64	170	0.937500
67	170	0.940299
70	170	0.971429
73	170	0.931507
76	170	0.921053
79	170	0.962025
82	170	0.951220
85	170	0.952941
88	170	0.943182
1	180	0.000000
4	180	0.500000
7	180	0.857143
10	180	0.800000
13	180	0.846154
16	180	0.875000
19	180	0.947368
22	180	0.909091
25	180	0.920000
28	180	0.928571
31	180	0.903226
34	180	0.911765
37	180	0.918919
40	180	0.925000
43	180	0.953488
46	180	0.956522
49	180	0.938776
52	180	0.961538
55	180	0.963636
58	180	0.931034
61	180	0.934426
64	180	0.968750
67	180	0.940299
70	180	0.928571
73	180	0.958904
76	180	0.947368
79	180	0.949367
82	180	0.975610
85	180	0.976471
88	180	0.954545
1	190	0.000000
4	190	0.750000
7	190	0.714286
10	190	0.800000
13	190	0.769231
16	190	0.875000
19	190	0.947368
22	190	0.727273
25	190	0.920000
28	190	0.892857
31	190	0.935484
34	190	0.882353
37	190	0.864865
40	190	0.900000
43	190	0.930233
46	190	0.934783
49	190	0.938776
52	190	0.903846
55	190	0.981818
58	190	0.948276
61	190	0.934426
64	190	0.937500
67	190	0.955224
70	190	0.957143
73	190	0.945205
76	190	0.960526
79	190	0.924051
82	190	0.963415
85	190	0.964706
88	190	0.943182
1	200	1.000000
4	200	0.500000
7	200	0.428571
10	200	0.700000
13	200	0.846154
16	200	0.812500
19	200	0.789474
22	200	0.818182
25	200	0.840000
28	200	0.928571
31	200	0.870968
34	200	0.852941
37	200	0.891892
40	200	0.950000
43	200	0.930233
46	200	0.934783
49	200	0.877551
52	200	0.942308
55	200	0.909091
58	200	0.931034
61	200	0.950820
64	200	0.953125
67	200	0.970149
70	200	0.971429
73	200	0.931507
76	200	0.934211
79	200	0.936709
82	200	0.963415
85	200	0.952941
88	200	0.954545
1	210	0.000000
4	210	0.500000
7	210	0.714286
10	210	0.800000
13	210	0.769231
16	210	0.875000
19	210	0.842105
22	210	0.954545
25	210	0.920000
28	210	0.964286
31	210	0.838710
34	210	0.852941
37	210	0.918919
40	210	0.925000
43	210	0.930233
46	210	0.847826
49	210	0.897959
52	210	0.923077
55	210	0.927273
